primary_purpose,outbound,tour_hour,trip_num,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24
work,FALSE,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,1,2,0.2,0.4,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,1,3,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
work,FALSE,1,4,0,0,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,2,2,0,0.25,0.3611111111111111,0.16666666666666666,0.1111111111111111,0,0,0,0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,2,3,0,0,0.5,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,2,4,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0
work,FALSE,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,3,2,0,0,0.22900763358778625,0.46564885496183206,0.2366412213740458,0.04580152671755725,0.007633587786259542,0,0.007633587786259542,0,0,0.007633587786259542,0,0,0,0,0,0,0,0,0,0,0,0
work,FALSE,3,3,0,0,0.041666666666666664,0.5,0.125,0.125,0.08333333333333333,0,0.041666666666666664,0,0,0.041666666666666664,0.041666666666666664,0,0,0,0,0,0,0,0,0,0,0
