grouped_tour_mode,0,1,2,All
DRIVEALONE,0.0,0.0,0.0,0.0
SHARED2,0.0,21594.0,201455.0,223049.0
SHARED3,1313.0,4665.0,98282.0,104259.0
WALK,3118.0,4871.0,16420.0,24409.0
BIKE,166.0,0.0,1501.0,1667.0
WALK-TRANSIT,1661.0,1914.0,1949.0,5525.0
PNR-TRANSIT,0.0,7.0,239.0,246.0
KNR-TRANSIT,135.0,148.0,272.0,555.0
TNC-TRANSIT,24.0,32.0,76.0,132.0
TAXI,0.0,86.0,918.0,1004.0
TNC-REG,263.0,1026.0,778.0,2067.0
TNC-SHARED,1272.0,73.0,1249.0,2594.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,7952.0,34416.0,323139.0,365507.0
