grouped_tour_mode,0,1,2,All
DRIVEALONE,0.0,0.0,0.0,0.0
SHARED2,0.0,25832.0,227304.0,253136.0
SHARED3,0.0,3495.0,87703.0,91197.0
WALK,4753.0,3398.0,8034.0,16185.0
BIKE,87.0,201.0,947.0,1235.0
WALK-TRANSIT,1854.0,1233.0,1558.0,4645.0
PNR-TRANSIT,4.0,25.0,81.0,109.0
KNR-TRANSIT,7.0,66.0,94.0,168.0
TNC-TRANSIT,2.0,26.0,30.0,58.0
TAXI,0.0,0.0,386.0,386.0
TNC-REG,0.0,0.0,0.0,0.0
TNC-SHARED,0.0,0.0,269.0,269.0
SCHOOLBUS,0.0,0.0,0.0,0.0
All,6707.0,34276.0,326406.0,367388.0
