grouped_linked_trip_mode,grouped_tour_mode,trips,purpose
SCHOOLBUS,TAXI,0.0,Total
All,TAXI,136844.0,Total
DRIVEALONE,TNC-REG,0.0,Total
SHARED2,TNC-REG,13527.0,Total
SHARED3,TNC-REG,9395.0,Total
WALK,TNC-REG,52377.0,Total
BIKE,TNC-REG,0.0,Total
WALK-TRANSIT,TNC-REG,0.0,Total
PNR-TRANSIT,TNC-REG,0.0,Total
KNR-TRANSIT,TNC-REG,0.0,Total
TNC-TRANSIT,TNC-REG,0.0,Total
TAXI,TNC-REG,8998.0,Total
TNC-REG,TNC-REG,117157.0,Total
TNC-SHARED,TNC-REG,0.0,Total
SCHOOLBUS,TNC-REG,0.0,Total
All,TNC-REG,201454.0,Total
DRIVEALONE,TNC-SHARED,0.0,Total
SHARED2,TNC-SHARED,7648.0,Total
SHARED3,TNC-SHARED,1976.0,Total
WALK,TNC-SHARED,18249.0,Total
BIKE,TNC-SHARED,0.0,Total
WALK-TRANSIT,TNC-SHARED,0.0,Total
PNR-TRANSIT,TNC-SHARED,0.0,Total
KNR-TRANSIT,TNC-SHARED,0.0,Total
TNC-TRANSIT,TNC-SHARED,0.0,Total
TAXI,TNC-SHARED,936.0,Total
TNC-REG,TNC-SHARED,21985.0,Total
TNC-SHARED,TNC-SHARED,62749.0,Total
SCHOOLBUS,TNC-SHARED,0.0,Total
All,TNC-SHARED,113543.0,Total
DRIVEALONE,SCHOOLBUS,0.0,Total
SHARED2,SCHOOLBUS,112071.0,Total
SHARED3,SCHOOLBUS,101340.0,Total
WALK,SCHOOLBUS,32468.0,Total
BIKE,SCHOOLBUS,0.0,Total
WALK-TRANSIT,SCHOOLBUS,0.0,Total
PNR-TRANSIT,SCHOOLBUS,0.0,Total
KNR-TRANSIT,SCHOOLBUS,0.0,Total
TNC-TRANSIT,SCHOOLBUS,0.0,Total
TAXI,SCHOOLBUS,2784.0,Total
TNC-REG,SCHOOLBUS,0.0,Total
TNC-SHARED,SCHOOLBUS,0.0,Total
SCHOOLBUS,SCHOOLBUS,743451.0,Total
All,SCHOOLBUS,992114.0,Total
DRIVEALONE,All,16265234.0,Total
SHARED2,All,6959861.0,Total
