grouped_tour_mode,auto_suff,tours,purpose
BIKE,1,1713.0,School
WALK-TRANSIT,1,6085.0,School
PNR-TRANSIT,1,44.0,School
KNR-TRANSIT,1,618.0,School
TNC-TRANSIT,1,6.0,School
TAXI,1,516.0,School
TNC-REG,1,1147.0,School
TNC-SHARED,1,0.0,School
SCHOOLBUS,1,51056.0,School
All,1,140338.0,School
DRIVEALONE,2,36302.0,School
SHARED2,2,166407.0,School
SHARED3,2,345308.0,School
WALK,2,118627.0,School
BIKE,2,10531.0,School
WALK-TRANSIT,2,11524.0,School
PNR-TRANSIT,2,461.0,School
KNR-TRANSIT,2,2209.0,School
TNC-TRANSIT,2,128.0,School
TAXI,2,3229.0,School
TNC-REG,2,1079.0,School
TNC-SHARED,2,0.0,School
SCHOOLBUS,2,364201.0,School
All,2,1060006.0,School
DRIVEALONE,All,41329.0,School
SHARED2,All,184416.0,School
SHARED3,All,383571.0,School
WALK,All,151491.0,School
BIKE,All,15644.0,School
WALK-TRANSIT,All,21407.0,School
PNR-TRANSIT,All,508.0,School
KNR-TRANSIT,All,2944.0,School
TNC-TRANSIT,All,171.0,School
TAXI,All,3864.0,School
TNC-REG,All,2226.0,School
TNC-SHARED,All,0.0,School
SCHOOLBUS,All,430340.0,School
All,All,1237911.0,School
DRIVEALONE,0,2172.0,Work sub-tour
SHARED2,0,1056.0,Work sub-tour
SHARED3,0,143.0,Work sub-tour
WALK,0,26785.0,Work sub-tour
BIKE,0,1495.0,Work sub-tour
WALK-TRANSIT,0,3659.0,Work sub-tour
PNR-TRANSIT,0,58.0,Work sub-tour
KNR-TRANSIT,0,104.0,Work sub-tour
TNC-TRANSIT,0,51.0,Work sub-tour
TAXI,0,305.0,Work sub-tour
TNC-REG,0,261.0,Work sub-tour
TNC-SHARED,0,0.0,Work sub-tour
SCHOOLBUS,0,0.0,Work sub-tour
All,0,36089.0,Work sub-tour
DRIVEALONE,1,33789.0,Work sub-tour
SHARED2,1,5869.0,Work sub-tour
SHARED3,1,9110.0,Work sub-tour
WALK,1,34355.0,Work sub-tour
BIKE,1,1505.0,Work sub-tour
WALK-TRANSIT,1,2395.0,Work sub-tour
PNR-TRANSIT,1,310.0,Work sub-tour
KNR-TRANSIT,1,255.0,Work sub-tour
TNC-TRANSIT,1,109.0,Work sub-tour
TAXI,1,1980.0,Work sub-tour
TNC-REG,1,135.0,Work sub-tour
TNC-SHARED,1,1050.0,Work sub-tour
SCHOOLBUS,1,0.0,Work sub-tour
All,1,90862.0,Work sub-tour
DRIVEALONE,2,330461.0,Work sub-tour
SHARED2,2,44861.0,Work sub-tour
SHARED3,2,19625.0,Work sub-tour
WALK,2,91225.0,Work sub-tour
BIKE,2,2830.0,Work sub-tour
WALK-TRANSIT,2,5048.0,Work sub-tour
