coefficient_name,value,constrain
#sr3p_ASC_rh_univ_escort_shopping_eatout_othmaint_social_othdiscr,-7,T
#sr3p_ASC_rh_work,-71.9177,F
sr3p_ASC_sr2_atwork,1.0387,F
sr3p_ASC_sr2_eatout,-0.3178,F
sr3p_ASC_sr2_escort,-0.2682,F
sr3p_ASC_sr2_othdiscr,-0.6142,F
sr3p_ASC_sr2_othmaint,-0.2958,F
sr3p_ASC_sr2_school,-2.7407,F
sr3p_ASC_sr2_shopping,-0.0781,F
sr3p_ASC_sr2_social,-0.1556,F
sr3p_ASC_sr2_univ,-0.3117,F
sr3p_ASC_sr2_work,-1.1956,F
sr3p_ASC_sr3p_atwork,2.4128,F
sr3p_ASC_sr3p_eatout,1.3323,F
sr3p_ASC_sr3p_escort,0.7358,F
sr3p_ASC_sr3p_othdiscr,0.7398,F
sr3p_ASC_sr3p_othmaint,0.9527,F
sr3p_ASC_sr3p_school,-1.7718,F
sr3p_ASC_sr3p_shopping,1.3395,F
sr3p_ASC_sr3p_social,0.8331,F
sr3p_ASC_sr3p_univ,0.6293,F
sr3p_ASC_sr3p_work,-0.1836,F
sr3p_ASC_walk_atwork,0.8102,F
sr3p_ASC_walk_eatout,-0.0434,F
sr3p_ASC_walk_escort,-1.0075,F
sr3p_ASC_walk_othdiscr,-0.5272,F
sr3p_ASC_walk_othmaint,0.0422,F
sr3p_ASC_walk_school,-1.2127,F
sr3p_ASC_walk_shopping,-0.5079,F
sr3p_ASC_walk_social,-0.3134,F
sr3p_ASC_walk_univ,1.6793,F
sr3p_ASC_walk_work,0.2171,F
#walk_ASC_rh,-7,T
#bike_ASC_rh,-7,T
bike_ASC_walk_atwork,-5.0532,F
bike_ASC_walk_eatout,-2.699,F
bike_ASC_walk_escort,-13.5203,F
bike_ASC_walk_othdiscr,-1.3577,F
bike_ASC_walk_othmaint,-0.5706,F
bike_ASC_walk_school,-2.0332,F
bike_ASC_walk_shopping,-1.0245,F
bike_ASC_walk_social,-13.2384,F
bike_ASC_walk_univ,-0.3399,F
bike_ASC_walk_work,-1.8333,F
walk_transit_ASC_rh_atwork,-3.8506,F
walk_transit_ASC_rh_eatout_social_othdiscr,-4.7508,F
walk_transit_ASC_rh_escort_shopping_othmaint,-3.1136,F
walk_transit_ASC_rh_school,-7,F
walk_transit_ASC_rh_univ,-4.2691,F
walk_transit_ASC_rh_work,-3.7408,F
walk_transit_ASC_sr2_atwork,-22.6587,F
walk_transit_ASC_sr2_eatout,-3.1434,F
walk_transit_ASC_sr2_escort,-2.6284,F
walk_transit_ASC_sr2_othdiscr,-2.759,F
walk_transit_ASC_sr2_othmaint,-34.6746,F
walk_transit_ASC_sr2_school,-4.2961,F
walk_transit_ASC_sr2_shopping,-4.0115,F
walk_transit_ASC_sr2_social,-3.3663,F
walk_transit_ASC_sr2_univ,-4.005,F
walk_transit_ASC_sr2_work,-3.6631,F
walk_transit_ASC_sr3p_atwork,-35.958,F
walk_transit_ASC_sr3p_eatout,-3.852,F
walk_transit_ASC_sr3p_escort,-3.2074,F
walk_transit_ASC_sr3p_othdiscr,-2.5126,F
walk_transit_ASC_sr3p_othmaint,-29.3858,F
walk_transit_ASC_sr3p_school,-3.8665,F
