periods_left_min,periods_left_max,outbound,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,True,0.8455096866096417,0.15449031339035826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,True,0.5877599346170488,0.4080661081243179,0.004173957258633307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,True,0.42900457341921816,0.5412899529369201,0.029705473643861807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,True,0.3438194760828578,0.5266459429812255,0.1286586008506526,0.0008759800852642658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,True,0.24408596500956817,0.47364358574718307,0.249819430499564,0.032451018743684765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,True,0.22492533812711135,0.4889117114507,0.2265530605916673,0.05911943219948523,0.0004904576310359979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.0,True,0.30291112454173885,0.3941148778758395,0.19417387647679094,0.09990034358064122,0.007919458310464061,0.0009803192145254277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,True,0.26336057431009435,0.42383414257505675,0.18472301162828492,0.09090441150437499,0.018443872045437227,0.018733987936751694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,True,0.2538350202728434,0.4186267466565764,0.15097379807904815,0.11770750268305705,0.041386789766047545,0.011808251227450587,0.005661891314976792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,True,0.23102002044432948,0.3791014803866597,0.174211281870465,0.14069048571823178,0.0397052255631243,0.023441307696784403,0.009046579880443602,0.0027836184399616525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
