coefficient_name,value,constrain
sr3p_ASC_no_auto_escort,1.960568843,F
taxi_ASC_auto_deficient_escort,-999,T
taxi_ASC_auto_sufficient_escort,-999,T
taxi_ASC_no_auto_escort,-999,T
tnc_shared_ASC_auto_deficient_escort,-999,T
tnc_shared_ASC_auto_sufficient_escort,-999,T
tnc_shared_ASC_no_auto_escort,-999,T
tnc_single_ASC_auto_deficient_escort,-999,T
tnc_single_ASC_auto_sufficient_escort,-999,T
tnc_single_ASC_no_auto_escort,-999,T
tnc_transit_ASC_auto_deficient_escort,-999,T
tnc_transit_ASC_auto_sufficient_escort,-999,T
tnc_transit_ASC_no_auto_escort,-999,T
tnc_transit_CBD_ASC_escort,0,T
walk_ASC_auto_deficient_escort,2.581424697,F
walk_ASC_auto_sufficient_escort,2.815316886,F
walk_ASC_no_auto_escort,5.105923067,F
walk_transit_ASC_auto_deficient_escort,-3.907423557,F
walk_transit_ASC_auto_sufficient_escort,-4.446895276,F
walk_transit_ASC_no_auto_escort,-2.132595971,F
walk_transit_CBD_ASC_escort,0,T
CTArail_ASC_othdiscr,0.605,F
Express_bus_ASC_othdiscr,0,T
Metrarail_ASC_othdiscr,0,T
bike_ASC_auto_deficient_othdiscr,0.76881708,F
bike_ASC_auto_sufficient_othdiscr,-1.036966132,F
bike_ASC_no_auto_othdiscr,3.450122832,F
coef_age010_trn_disc,0,T
coef_age1619_da_disc,-0.071,F
coef_age16p_sr_disc,-0.205,F
coef_hhsize1_sr_disc,-1.12,F
coef_hhsize2_sr_disc,-1.09,F
knr_transit_ASC_auto_deficient_othdiscr,-999,T
knr_transit_ASC_auto_sufficient_othdiscr,-1.800637155,F
knr_transit_ASC_no_auto_othdiscr,4.798952478,F
knr_transit_CBD_ASC_othdiscr,0,T
pnr_transit_ASC_auto_deficient_othdiscr,0.388269653,F
pnr_transit_ASC_auto_sufficient_othdiscr,-0.089117379,F
pnr_transit_ASC_no_auto_othdiscr,2.912919006,F
pnr_transit_CBD_ASC_othdiscr,0,T
sr2_ASC_auto_deficient_othdiscr,-0.047635139,F
sr2_ASC_auto_sufficient_othdiscr,-0.425341134,F
sr2_ASC_no_auto_othdiscr,1.277750416,F
